Gen    1 | Barras usadas = 85 | Desperdicio = 68840 | % Desperdiciado = 14.46%
Gen    2 | Barras usadas = 84 | Desperdicio = 63240 | % Desperdiciado = 13.44%
Gen    3 | Barras usadas = 83 | Desperdicio = 57640 | % Desperdiciado = 12.40%
Gen    4 | Barras usadas = 84 | Desperdicio = 63240 | % Desperdiciado = 13.44%
Gen    5 | Barras usadas = 83 | Desperdicio = 57640 | % Desperdiciado = 12.40%
Gen    6 | Barras usadas = 83 | Desperdicio = 57640 | % Desperdiciado = 12.40%
Gen    7 | Barras usadas = 82 | Desperdicio = 52040 | % Desperdiciado = 11.33%
Gen    8 | Barras usadas = 83 | Desperdicio = 57640 | % Desperdiciado = 12.40%
Gen    9 | Barras usadas = 82 | Desperdicio = 52040 | % Desperdiciado = 11.33%
Gen   10 | Barras usadas = 82 | Desperdicio = 52040 | % Desperdiciado = 11.33%
Gen   11 | Barras usadas = 82 | Desperdicio = 52040 | % Desperdiciado = 11.33%
Gen   12 | Barras usadas = 82 | Desperdicio = 52040 | % Desperdiciado = 11.33%
Gen   13 | Barras usadas = 82 | Desperdicio = 52040 | % Desperdiciado = 11.33%
Gen   14 | Barras usadas = 82 | Desperdicio = 52040 | % Desperdiciado = 11.33%
Gen   15 | Barras usadas = 81 | Desperdicio = 46440 | % Desperdiciado = 10.24%
Gen   16 | Barras usadas = 82 | Desperdicio = 52040 | % Desperdiciado = 11.33%
Gen   17 | Barras usadas = 81 | Desperdicio = 46440 | % Desperdiciado = 10.24%
Gen   18 | Barras usadas = 81 | Desperdicio = 46440 | % Desperdiciado = 10.24%
Gen   19 | Barras usadas = 80 | Desperdicio = 40840 | % Desperdiciado = 9.12%
Gen   20 | Barras usadas = 80 | Desperdicio = 40840 | % Desperdiciado = 9.12%
Gen   21 | Barras usadas = 81 | Desperdicio = 46440 | % Desperdiciado = 10.24%
Gen   22 | Barras usadas = 80 | Desperdicio = 40840 | % Desperdiciado = 9.12%
Gen   23 | Barras usadas = 81 | Desperdicio = 46440 | % Desperdiciado = 10.24%
Gen   24 | Barras usadas = 80 | Desperdicio = 40840 | % Desperdiciado = 9.12%
Gen   25 | Barras usadas = 79 | Desperdicio = 35240 | % Desperdiciado = 7.97%
Gen   26 | Barras usadas = 79 | Desperdicio = 35240 | % Desperdiciado = 7.97%
Gen   27 | Barras usadas = 80 | Desperdicio = 40840 | % Desperdiciado = 9.12%
Gen   28 | Barras usadas = 80 | Desperdicio = 40840 | % Desperdiciado = 9.12%
Gen   29 | Barras usadas = 80 | Desperdicio = 40840 | % Desperdiciado = 9.12%
Gen   30 | Barras usadas = 80 | Desperdicio = 40840 | % Desperdiciado = 9.12%
Gen   31 | Barras usadas = 80 | Desperdicio = 40840 | % Desperdiciado = 9.12%
Gen   32 | Barras usadas = 79 | Desperdicio = 35240 | % Desperdiciado = 7.97%
Gen   33 | Barras usadas = 80 | Desperdicio = 40840 | % Desperdiciado = 9.12%
Gen   34 | Barras usadas = 80 | Desperdicio = 40840 | % Desperdiciado = 9.12%
Gen   35 | Barras usadas = 79 | Desperdicio = 35240 | % Desperdiciado = 7.97%
Gen   36 | Barras usadas = 79 | Desperdicio = 35240 | % Desperdiciado = 7.97%
Gen   37 | Barras usadas = 79 | Desperdicio = 35240 | % Desperdiciado = 7.97%
Gen   38 | Barras usadas = 79 | Desperdicio = 35240 | % Desperdiciado = 7.97%
Gen   39 | Barras usadas = 79 | Desperdicio = 35240 | % Desperdiciado = 7.97%
Gen   40 | Barras usadas = 78 | Desperdicio = 29640 | % Desperdiciado = 6.79%
Gen   41 | Barras usadas = 79 | Desperdicio = 35240 | % Desperdiciado = 7.97%
Gen   42 | Barras usadas = 79 | Desperdicio = 35240 | % Desperdiciado = 7.97%
Gen   43 | Barras usadas = 79 | Desperdicio = 35240 | % Desperdiciado = 7.97%
Gen   44 | Barras usadas = 78 | Desperdicio = 29640 | % Desperdiciado = 6.79%
Gen   45 | Barras usadas = 78 | Desperdicio = 29640 | % Desperdiciado = 6.79%
Gen   46 | Barras usadas = 78 | Desperdicio = 29640 | % Desperdiciado = 6.79%
Gen   47 | Barras usadas = 78 | Desperdicio = 29640 | % Desperdiciado = 6.79%
Gen   48 | Barras usadas = 78 | Desperdicio = 29640 | % Desperdiciado = 6.79%
Gen   49 | Barras usadas = 78 | Desperdicio = 29640 | % Desperdiciado = 6.79%
Gen   50 | Barras usadas = 78 | Desperdicio = 29640 | % Desperdiciado = 6.79%
Gen   51 | Barras usadas = 78 | Desperdicio = 29640 | % Desperdiciado = 6.79%
Gen   52 | Barras usadas = 78 | Desperdicio = 29640 | % Desperdiciado = 6.79%
Gen   53 | Barras usadas = 78 | Desperdicio = 29640 | % Desperdiciado = 6.79%
Gen   54 | Barras usadas = 78 | Desperdicio = 29640 | % Desperdiciado = 6.79%
Gen   55 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen   56 | Barras usadas = 78 | Desperdicio = 29640 | % Desperdiciado = 6.79%
Gen   57 | Barras usadas = 78 | Desperdicio = 29640 | % Desperdiciado = 6.79%
Gen   58 | Barras usadas = 78 | Desperdicio = 29640 | % Desperdiciado = 6.79%
Gen   59 | Barras usadas = 78 | Desperdicio = 29640 | % Desperdiciado = 6.79%
Gen   60 | Barras usadas = 78 | Desperdicio = 29640 | % Desperdiciado = 6.79%
Gen   61 | Barras usadas = 78 | Desperdicio = 29640 | % Desperdiciado = 6.79%
Gen   62 | Barras usadas = 78 | Desperdicio = 29640 | % Desperdiciado = 6.79%
Gen   63 | Barras usadas = 78 | Desperdicio = 29640 | % Desperdiciado = 6.79%
Gen   64 | Barras usadas = 78 | Desperdicio = 29640 | % Desperdiciado = 6.79%
Gen   65 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen   66 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen   67 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen   68 | Barras usadas = 78 | Desperdicio = 29640 | % Desperdiciado = 6.79%
Gen   69 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen   70 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen   71 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen   72 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen   73 | Barras usadas = 78 | Desperdicio = 29640 | % Desperdiciado = 6.79%
Gen   74 | Barras usadas = 78 | Desperdicio = 29640 | % Desperdiciado = 6.79%
